epoch,loss,val_loss
0,1.0297667980194092,1.019247055053711
1,0.9463203549385071,0.7324581146240234
2,0.8976358771324158,0.8972998261451721
3,0.8351889252662659,0.7659955024719238
4,0.7941272258758545,0.6918483972549438
5,0.7718312740325928,0.7802079916000366
6,0.7879873514175415,0.7043313384056091
7,0.8119116425514221,0.7137635350227356
8,0.7633686065673828,0.7094188332557678
9,0.8030012845993042,0.7590321898460388
10,0.8289080262184143,0.6880081295967102
11,0.7473269701004028,0.6892718076705933
12,0.7739636301994324,0.7059749960899353
13,0.792762815952301,0.7039110660552979
14,0.7431595325469971,0.7099356055259705
15,0.7361674308776855,0.6953881978988647
16,0.72930908203125,0.6916905641555786
17,0.7155843377113342,0.6953788995742798
18,0.7392081618309021,0.7953497171401978
19,0.7349417209625244,0.6902710199356079
20,0.7068780064582825,0.695374608039856
21,0.7137966156005859,0.6953829526901245
22,0.7187035083770752,0.6953169107437134
23,0.7221419215202332,0.6953882575035095
24,0.734455943107605,0.6897886991500854
25,0.7243806719779968,0.6942961812019348
26,0.7297915816307068,0.6913242340087891
27,0.7283605933189392,0.6953654289245605
28,0.7345374822616577,0.695347011089325
29,0.7364599704742432,0.6952241063117981
30,0.7704482078552246,0.6953882575035095
31,0.748906672000885,0.7239761352539062
32,0.7498732805252075,0.7101414799690247
33,0.7223480939865112,0.6952666640281677
34,0.7387882471084595,0.6953882575035095
35,0.7569106817245483,0.7253450155258179
36,0.7368659973144531,0.6933153867721558
37,0.7292652726173401,0.6953806281089783
38,0.736015260219574,0.6953880786895752
39,0.7518616914749146,0.7229220867156982
40,0.7692796587944031,0.6953882575035095
41,0.7441951632499695,0.6953882575035095
42,0.7330014109611511,0.6953882575035095
43,0.7206354141235352,0.6953882575035095
44,0.7189266085624695,0.6953690648078918
45,0.7591511607170105,0.6658808588981628
46,0.7308298945426941,0.6953882575035095
47,0.7316270470619202,0.7101404070854187
48,0.7570953369140625,0.7966374158859253
49,0.7588239908218384,0.7101420164108276
0,0.7630397081375122,0.6941962838172913
1,0.7406613230705261,0.662642240524292
2,0.716772735118866,0.6660748720169067
3,0.7171514630317688,0.6934330463409424
4,0.7212480902671814,0.6953882575035095
5,0.7180308103561401,0.69346684217453
6,0.7204314470291138,0.6952491998672485
7,0.7294361591339111,0.6953436136245728
8,0.7162582278251648,0.6947053074836731
9,0.7517566680908203,0.6658800840377808
10,0.7591249942779541,0.6807507276535034
11,0.7296830415725708,0.6658808588981628
12,0.7251662015914917,0.6656991839408875
13,0.7299604415893555,0.6801832318305969
14,0.7330132722854614,0.6693727970123291
15,0.7147533893585205,0.6658808588981628
16,0.7341117262840271,0.6658808588981628
17,0.7187579870223999,0.6658782362937927
18,0.714270293712616,0.6658808588981628
19,0.7325830459594727,0.7748342752456665
20,0.785118043422699,0.7782182097434998
21,0.7783843874931335,0.778218150138855
22,0.7382141351699829,0.6953882575035095
23,0.7081245183944702,0.6804732084274292
24,0.7191628217697144,0.6953881978988647
25,0.715463399887085,0.6953882575035095
26,0.7187370657920837,0.6953882575035095
27,0.7246936559677124,0.6953882575035095
28,0.7141335606575012,0.6953882575035095
29,0.722972571849823,0.6953882575035095
30,0.7224968075752258,0.6953882575035095
31,0.7185452580451965,0.6941730380058289
32,0.8019184470176697,0.8281698226928711
33,0.8033793568611145,0.695361852645874
34,0.7582648992538452,0.6953867673873901
35,0.7683765888214111,0.6953882575035095
36,0.7649060487747192,0.74905925989151
37,0.7388225197792053,0.6953882575035095
38,0.7279844284057617,0.69538813829422
39,0.7266626358032227,0.6951267719268799
40,0.7237286567687988,0.6901735067367554
41,0.7191994190216064,0.6953882575035095
42,0.7416191101074219,0.6927249431610107
43,0.7229959964752197,0.6953882575035095
44,0.734740674495697,0.6953882575035095
45,0.7377157807350159,0.6953882575035095
46,0.732950747013092,0.6919854879379272
47,0.7211596965789795,0.6923869252204895
48,0.7393532991409302,0.6953882575035095
49,0.7600297927856445,0.7772888541221619
50,0.7725719809532166,0.7772888541221619
51,0.762495756149292,0.7624189257621765
52,0.7659159898757935,0.7624189257621765
53,0.7625417709350586,0.7624189257621765
54,0.7276003360748291,0.6953881978988647
